,Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Return Rate,Monthly,Net Revenue
0,2020-01-06,Whey Protein,Protein,143,31.98,4573.14,0.03,2,Canada,Walmart,0.013986013986013986,2020-01,4511.098800000001
1,2020-01-06,Vitamin C,Vitamin,139,42.51,5908.89,0.04,0,UK,Amazon,0.0,2020-01,5908.89
2,2020-01-06,Fish Oil,Omega,161,12.91,2078.51,0.25,0,Canada,Amazon,0.0,2020-01,2078.51
3,2020-01-06,Multivitamin,Vitamin,140,16.07,2249.8,0.08,0,Canada,Walmart,0.0,2020-01,2249.8
4,2020-01-06,Pre-Workout,Performance,157,35.47,5568.79,0.25,3,Canada,iHerb,0.01910828025477707,2020-01,5488.9825
5,2020-01-06,BCAA,Amino Acid,154,41.19,6343.26,0.13,1,UK,Walmart,0.006493506493506494,2020-01,6307.4247000000005
6,2020-01-06,Creatine,Performance,134,32.49,4353.66,0.05,1,UK,Walmart,0.007462686567164179,2020-01,4322.7945
7,2020-01-06,Zinc,Mineral,147,46.68,6861.96,0.19,0,Canada,Amazon,0.0,2020-01,6861.96
8,2020-01-06,Collagen Peptides,Protein,147,10.96,1611.12,0.06,2,USA,Amazon,0.013605442176870748,2020-01,1590.5151999999998
9,2020-01-06,Magnesium,Mineral,134,20.76,2781.84,0.0,0,Canada,Amazon,0.0,2020-01,2781.84
10,2020-01-06,Ashwagandha,Herbal,181,15.49,2803.69,0.14,1,USA,Amazon,0.0055248618784530384,2020-01,2790.3686000000002
11,2020-01-06,Melatonin,Sleep Aid,164,34.41,5643.24,0.04,1,USA,Walmart,0.006097560975609756,2020-01,5610.2064
12,2020-01-06,Biotin,Vitamin,159,28.79,4577.61,0.1,1,UK,iHerb,0.006289308176100629,2020-01,4551.699
13,2020-01-06,Green Tea Extract,Fat Burner,143,31.88,4558.84,0.06,3,UK,Walmart,0.02097902097902098,2020-01,4468.9384
14,2020-01-06,Iron Supplement,Mineral,149,42.97,6402.53,0.22,2,Canada,iHerb,0.013422818791946308,2020-01,6335.4968
15,2020-01-06,Electrolyte Powder,Hydration,154,35.92,5531.68,0.04,2,USA,Amazon,0.012987012987012988,2020-01,5462.7136
16,2020-01-13,Whey Protein,Protein,150,12.08,1812.0,0.02,2,UK,Amazon,0.013333333333333334,2020-01,1788.3232
17,2020-01-13,Vitamin C,Vitamin,128,10.61,1358.08,0.24,2,USA,Amazon,0.015625,2020-01,1341.9528
